lon	lat	adname_id	cost	type_id	ranking	comment	area	total_trip	level	mean_time
116.397029	39.91784	4	60	1	4.8	144663	1038469.981	18918	5	6.0
116.016802	40.356188	16	40	1	4.7	33983	2424391.838	5677	5	7.5
116.410829	39.881913	4	15	1	4.6	11633	1935389.745	9022	5	5.0
116.275115	39.999686	7	30	1	4.7	40087	3190657.268	11485	5	12.0
116.565052	40.431668	8	40	1	4.8	14667	4123759.312	2645	5	6.0
116.396551	39.925875	15	0	1	4.7	3814	257164.9228	9163	4	1.25
116.386312	39.937225	15	40	1	4.6	15803	64266.78184	5730	1	3.0
116.391746	39.928614	15	10	1	4.8	40	697623.4271	6887	4	2.0
116.49462	39.985028	2	0	2	4.5	1321	370534.7496	1821	1	3.0
116.385307	39.941853	15	0	1	4.6	2157	0.0	5922	1	2.5
116.398222	39.897304	4	180	2	4.7	3677	3000.0	327	1	1.5
116.417304	39.947228	4	25	1	4.8	6	35765.89602	4125	1	2.0
116.326793	40.003017	7	0	1	4.6	1157	2787516.674	5968	1	2.5
116.403894	39.896151	4	0	4	4.5	1544	711343.8409	3934	3	2.0
116.413283	39.946908	4	118	1	4.6	685	22000.0	2941	1	3.5
116.310905	39.992806	7	0	1	4.6	1452	1950017.619	6718	1	1.5
117.277314	40.654264	10	140	1	4.6	10869	2472837.263	902	1	12.0
116.33668	39.942117	15	15	3	4.5	4963	726207.5638	1004	4	5.0
116.188746	39.990107	7	10	1	4.6	5055	1641390.743	3045	4	3.0
116.391365	40.016194	2	0	4	4.8	100	6697819.748	987	1	3.5
116.414449	39.953778	4	2	4	4.5	874	326165.0245	1751	4	2.0
116.319932	39.91662	7	2	5	4.6	1522	1157711.354	1508	4	3.0
116.408701	39.948536	4	0	4	4.6	337	0.0	1374	1	1.5
116.494743	39.867355	2	339	6	4.7	16257	551942.6523	580	4	6.0
116.395042	39.895715	15	0	4	4.5	1026	0.0	4653	3	0.75
116.287749	39.810591	6	77	6	4.4	4177	416149.3649	376	4	3.0
116.211489	39.996048	7	5	3	4.6	1886	1669958.856	1350	4	3.5
116.355972	39.871365	15	40	6	4.6	2278	103367.4921	739	4	3.0
116.334739	39.496599	3	145	3	4.7	23340	2306858.526	504	4	5.0
116.342067	39.906412	15	0	2	4.7	1063	31381.63726	914	4	2.5
116.073094	40.291154	1	45	1	4.7	1917	663074.9328	1412	4	8.0
116.624756	40.384097	8	54	1	4.7	2027	1786808.424	334	4	4.5
116.0306	39.903428	9	55	1	4.6	1204	178980.4929	514	4	3.5
116.399833	39.883183	4	0	2	4.6	960	18843.34828	584	1	2.0
116.394407	39.910707	4	0	4	4.7	763	191915.9733	1308	4	4.0
116.303862	40.413026	8	60	1	4.7	2299	1528297.336	335	4	3.0
116.184358	39.962679	12	10	5	4.7	2105	2116766.293	492	4	1.5
115.899049	40.531641	16	60	5	4.6	1240	30112108.5	148	1	3.0
116.408939	39.925255	4	0	2	4.7	592	24244.3366	596	1	1.0
116.475944	39.949336	2	0	4	4.7	52	116894.6079	341	3	2.5
116.41262	39.901299	4	0	1	4.6	327	628400.0	732	1	1.5
116.084981	40.106778	7	25	5	4.6	1446	3528731.118	459	4	1.5
116.395885	39.941596	4	20	1	4.5	352	3852.108981	1354	1	1.5
116.003394	40.551886	16	40	5	4.5	2139	5893398.409	194	4	4.0
115.996858	40.351178	16	90	3	4.2	4895	2849241.299	187	3	3.0
116.534357	40.445809	8	0	1	4.5	199	0.0	385	1	1.5
115.494375	40.016715	9	45	5	4.5	8	56986810.71	639	1	3.0
116.340971	39.944676	7	173	3	4.5	4837	34297.38781	655	1	2.5
116.516762	40.944697	8	36	5	4.8	4	153357482.1	172	3	2.5
116.393823	39.905024	15	0	1	4.6	615	144657.2062	3207	1	1.5
116.398595	40.006023	2	30	2	4.7	4578	50070.83617	1122	1	4.0
116.323321	39.94394	7	0	2	4.7	485	126734.6677	678	1	1.5
117.287475	40.658241	10	170	1	4.6	1043	835259.522	663	4	4.0
116.667865	40.391351	8	42	5	4.5	2602	6916123.214	322	4	4.0
116.499843	40.042256	2	120	2	4.3	162	6442.272653	306	1	1.5
116.31974	40.70053	16	12	5	4.5	7	455734609.5	124	4	12.0
116.681168	40.46179	8	54	5	4.6	709	6724752.583	139	4	4.5
116.395	39.895856	15	20	4	4.4	276	54.40178109	169	1	3.0
115.646077	39.995718	9	0	1	4.4	276	5330000.0	158	1	8.0
116.319089	39.942349	7	0	4	4.6	733	467212.1062	372	4	2.0
116.190595	39.876665	6	20	4	4.6	3257	5215785.736	319	4	0.5
115.591886	39.837756	9	60	5	4.9	7	32412753.44	245	3	4.0
116.381915	39.874511	15	2	4	4.6	1122	524301.5316	367	4	2.5
116.412422	39.908966	4	0	4	4.4	1838	1951869.662	7795	1	3.0
116.026452	40.06355	9	20	5	4.6	9	4000639.889	384	3	8.0
115.846995	40.413557	16	50	5	4.5	2225	4632156.039	155	4	2.0
116.534331	40.006937	2	88	2	4.8	1134	8240.85266	144	1	2.0
117.24148	40.262227	11	58	5	4.5	2123	1455325.832	109	4	3.0
115.943382	39.797505	5	70	5	4.6	810	742671.9974	82	1	2.0
116.520445	39.996385	2	128	2	4.4	207	57851.24158	188	1	1.5
115.835058	39.703939	5	30	5	4.6	1245	2151709.492	249	1	4.5
115.731795	40.004098	9	26	1	4.3	250	477250.3526	71	3	8.0
117.322222	40.175585	11	40	5	4.4	1576	6874618.267	172	4	3.5
116.389814	39.904909	15	30	1	4.6	1789	139993.7883	1544	1	2.0
116.585202	40.025437	13	160	2	4.4	40	22576.26698	76	1	2.0
115.94761	40.442537	16	20	4	4.6	8071	5427243.435	22	1	8.0
116.343781	39.901235	15	10	1	4.6	353	30199.44463	204	1	2.0
116.336833	39.937306	15	10	2	4.5	929	24829.2312	468	4	2.0
116.400841	39.985159	2	0	4	4.5	184	629581.0826	1453	1	2.5
116.193067	39.975187	7	5	5	4.7	1272	4375051.672	231	3	3.0
116.400005	39.9107	4	2	2	4.6	419	143113.5078	390	2	2.0
115.81911	40.5591	16	0	5	4.7	70	112249000.0	143	1	8.0
116.61177	40.438855	8	20	5	4.4	146	20442862.21	109	1	3.0
116.402394	39.937182	4	0	4	4.6	191	835977.9168	9462	1	3.0
116.390792	39.936204	15	0	4	4.4	623	0.0	136	1	2.5
116.208645	39.911986	12	10	6	4.1	935	368944.5968	88	4	3.0
116.796608	40.181617	13	30	3	4.6	3748	1074586.0	79	4	1.0
116.255631	40.029982	7	6	5	4.5	349	2376048.302	229	3	4.5
116.363365	39.924848	15	20	1	4.6	284	9377.248679	382	1	1.0
116.39361	39.895977	15	73	4	4.6	56	0.0	341	1	0.75
116.301692	39.828941	6	25	2	4.7	5354	56696.70166	162	1	2.0
116.330383	39.944049	7	0	1	4.5	163	17000.0	295	1	1.0
116.335592	40.001971	7	20	2	4.6	46	22319.07123	89	1	3.0
116.321339	39.911686	7	0	1	4.3	411	39999.79982	250	1	1.5
116.438258	39.879792	4	2	4	4.6	530	393999.8621	118	4	4.0
116.293542	40.26432	1	30	5	4.4	755	17525836.27	114	3	2.0
116.117756	39.866114	6	10	5	4.6	731	1232968.118	2173	4	3.5
116.086534	39.87053	9	45	1	4.7	540	79914.28354	242	4	2.5
116.351994	39.836173	6	60	3	4.6	2599	400021.34	98	4	6.0
116.390273	39.992429	2	290	6	4.5	2548	20000.0	25	1	3.0
116.443795	39.915538	2	0	4	4.6	535	219976.9075	370	3	0.5
116.391367	39.982848	2	90	2	4.8	18	314383.6014	946	1	4.0
115.974434	40.048017	9	25	5	4.3	90	1098482.844	35	1	6.0
116.16003	39.940625	12	0	5	4.1	7	621642.6157	207	1	1.5
116.794133	40.541541	10	45	5	4.4	530	6411968.924	51	3	8.0
116.913914	40.517502	10	0	5	4.6	144	188000000.0	268	1	8.0
116.029451	40.34431	16	33	5	4.5	207	11095655.51	31	1	4.5
116.455294	39.937492	2	0	4	4.6	674	2560078.012	3524	1	3.0
116.207216	40.007486	7	5	1	4.5	165	10689.38661	402	1	0.5
116.392052	39.877536	15	15	2	4.6	180	40536.72495	129	1	0.5
116.465247	39.984522	2	93	2	4.6	138	14777.0	227	1	1.5
116.464223	39.777746	3	0	4	4.8	28	5182625.955	102	1	4.0
116.177113	39.878994	6	0	2	4.8	191	51781.15408	571	4	2.5
116.467689	39.900089	2	60	2	4.4	222	4922.158061	87	1	1.0
116.422376	39.918155	4	0	4	4.7	140	1402.032602	200	1	1.0
115.774477	39.609037	5	40	1	4.6	346	62848.75574	100	4	4.0
115.77548	40.463	16	54	1	4.5	455	42510.75029	89	3	2.0
116.085213	40.056718	7	15	5	4.4	196	7244698.158	225	1	2.5
116.163672	39.909611	12	88	4	4.8	5	7400152.215	312	1	2.5
115.923175	40.116704	9	0	1	4.5	51	134470.5137	61	1	2.5
116.32747	40.320202	1	20	1	4.5	176	550422.0733	83	4	1.0
116.384032	39.8889	15	10	1	3.4	56	5148.142886	131	3	3.0
115.717598	39.950988	9	15	5	4.5	564	11387343.36	48	3	3.0
116.447024	39.928544	2	87	3	4.2	2811	35673.0037	46	1	2.0
116.330436	39.944623	7	20	2	4.5	120	16954.02291	135	1	1.0
115.739264	39.849094	5	60	5	4.5	209	5410541.629	67	4	2.5
116.559811	40.005945	2	138	6	4.4	1128	35000.0	0	1	4.0
116.493084	40.037948	2	32	2	4.9	11	3000.0	45	1	1.5
116.085523	39.860994	6	45	5	4.5	274	4861325.835	75	1	2.5
116.387191	39.890058	15	40	1	4.3	255	979.6936927	167	1	1.5
116.371739	39.923387	15	15	2	4.7	794	27721.05713	166	1	2.5
116.744026	39.87012	14	0	5	4.7	407	5808489.415	133	1	6.0
116.394748	39.939329	15	0	4	4.4	662	18111.23657	3421	1	2.0
116.405433	39.894234	4	0	5	4.9	119	8116212.268	210	1	1.5
116.574114	40.042789	13	100	2	4.7	61	23236.28244	60	1	1.5
116.049693	39.966158	9	25	5	4.4	209	208940.7425	159	3	8.0
116.081952	40.14064	1	30	5	4.1	598	17355511.65	1516	2	4.5
116.333946	39.937435	15	10	2	4.6	319	6557.157229	92	1	1.0
116.687451	39.908805	14	0	4	4.8	8	1901139.866	91	3	1.0
116.432569	39.932811	4	20	2	4.6	114	0.0	67	1	1.0
116.434326	39.907206	4	20	1	4.5	214	14898.92496	125	1	1.0
116.656299	40.447449	8	240	6	4.4	1091	420941.5961	13	1	8.0
116.59389	39.659096	3	60	3	4.6	1886	167816.4152	59	3	3.5
116.153459	39.872749	6	339	6	4.5	524	260094.1282	10	1	4.0
116.381429	40.002551	2	40	2	4.5	114	5149.606305	95	1	2.5
115.529003	39.672725	5	42	5	4.5	348	5498692.714	63	1	1.5
116.104067	40.068588	7	9	5	4.1	134	26000000.0	322	2	3.0
116.397847	39.882286	15	0	4	4.7	63	26860.59543	33	1	12.0
116.055738	39.906618	9	50	1	4.7	15	6689.365721	88	3	0.75
116.808601	40.123386	13	0	5	4.4	151	2893945.527	40	3	4.0
116.154595	39.793548	6	19	3	4.7	1616	233335.0	21	1	8.0
116.526044	39.910659	2	50	2	4.7	392	23486.78111	68	1	2.0
116.433196	39.920688	4	0	4	4.6	121	0.0	70	1	2.0
116.949547	40.58737	10	35	5	4.3	52	0.0	46	3	1.0
116.027453	39.893358	9	54	5	4.4	98	0.0	24	1	1.0
115.826676	39.674028	5	30	5	4.4	44	4946245.54	74	3	2.0
116.607927	39.965633	2	98	3	4.1	249	705046.5147	103	3	1.5
116.372321	39.924971	15	0	1	4.5	182	10470.98737	160	1	3.0
116.244721	39.905924	12	5	2	4.4	425	332733.4086	54	1	1.5
116.390183	39.963182	2	0	1	4.4	84	0.0	114	1	0.5
117.188245	40.684349	10	33	1	4.6	32	365952.1097	47	1	1.5
116.217826	40.291272	1	35	1	4.5	44	68398.48623	279	1	1.0
116.494254	39.98877	2	0	2	4.4	17	27141.76635	12	1	2.0
116.019232	40.3548	16	0	3	4.5	177	0.0	70	1	0.5
116.636663	40.485794	8	35	5	4.5	93	15858350.28	31	2	2.5
116.385492	39.957583	15	0	1	4.6	271	84564.68895	54	1	2.5
115.998736	40.551127	16	0	1	4.6	5	0.0	104	1	2.0
116.753897	40.633443	10	50	5	4.1	771	84142.79653	81	3	4.0
116.54337	39.900199	2	64	2	4.4	17	25356.25864	60	1	1.5
115.784943	40.078124	9	20	5	3.6	30	0.0	40	1	2.0
116.357066	39.931825	15	0	4	4.6	148	1358.777248	40	1	2.0
116.206315	40.365173	1	20	5	3.6	45	32969824.84	15	1	2.0
115.908906	40.003303	9	35	5	4.1	233	6309342.101	31	1	3.0
116.132674	40.162717	1	0	2	4.5	41	0.0	12	1	2.0
116.395033	39.895727	15	0	1	4.3	98	0.0	202	1	1.5
116.69273	40.180524	13	20	4	5.0	6	1570176.903	11	4	3.0
116.678223	40.531642	8	30	5	4.4	110	852180.3777	27	3	2.0
116.257824	40.422046	16	0	5	4.2	22	0.0	40	1	1.5
116.501214	39.983954	2	58	2	4.2	339	4993.380333	24	1	1.5
116.488821	40.466902	8	46	5	4.4	245	24941217.35	48	1	2.5
115.594264	39.634276	5	195	6	4.3	105	50901.34807	24	1	3.5
115.66802	39.617798	5	20	6	5.0	3	399938.5376	27	1	1.0
115.716289	40.074227	9	0	5	5.0	6	0.0	75	1	2.0
116.413688	39.864015	4	0	2	4.7	82	0.0	3	1	1.0
116.495174	39.986104	2	0	2	4.2	17	0.0	34	1	1.5
116.398021	39.900505	4	0	1	4.6	541	0.0	2300	1	1.5
115.606704	40.033678	9	0	5	3.9	20	0.0	79	1	16.0
115.969777	40.525178	16	259	6	4.3	420	387890.7824	25	1	3.5
116.009988	40.357944	16	0	2	4.0	3	0.0	251	1	0.5
116.295248	39.987001	7	0	4	4.5	198	385915.3925	78	1	2.0
116.155762	39.793125	6	0	2	4.5	71	0.0	11	1	2.0
116.382469	39.906116	15	0	4	4.7	50	3860.636431	25	1	2.0
116.423493	39.910429	4	0	2	4.6	137	10618.63362	32	1	2.5
116.662897	39.914502	14	0	4	4.5	142	340520.3335	30	1	2.0
116.106782	40.325195	1	15	5	3.7	65	91497387.02	26	1	2.0
116.512579	39.971277	2	0	4	4.6	115	643501.2034	77	3	1.5
117.246737	40.226566	11	80	5	4.1	327	4072648.286	23	1	4.0
116.524309	40.500558	16	40	1	4.6	79	13306852.11	22	1	1.5
115.560624	40.02231	9	40	5	4.3	84	23781324.6	49	1	1.5
116.681212	39.852698	14	624	6	4.5	3534	1493568.706	819	1	8.0
116.300442	40.009143	7	10	1	4.7	19667	3336877.979	7545	5	2.5
116.397755	39.903179	4	0	1	4.8	14196	250003.1338	16368	1	1.5
116.401304	39.905374	4	0	2	4.8	4278	123008.8977	1190	1	3.5
116.397815	39.902517	4	0	2	4.6	786	58607.5159	165	1	0.75
116.383068	39.945538	15	20	1	4.7	689	21880.23116	654	1	1.5
116.397691	39.904632	4	0	1	4.6	682	10186.8376	2243	1	1.0
115.930021	39.689369	5	30	1	4.4	859	118197.6851	76	4	2.0
116.411999	39.915948	4	49	2	4.2	334	1000.0	0	1	1.5
116.30619	39.918697	7	90	3	4.4	2187	38047.25468	75	1	3.0
116.307016	39.918852	7	80	4	4.4	1773	109278.5153	737	1	2.0
116.390909	39.891935	15	0	4	4.3	159	0.0	455	1	2.0
116.402591	39.943873	4	0	4	4.3	188	1498.208418	456	1	1.5
115.624433	39.632105	5	48	5	4.4	565	2863065.187	89	1	3.5
115.506366	39.65751	5	37	5	3.9	60	301000000.0	11	1	3.5
116.225969	39.850387	6	20	1	4.6	141	425565.9048	565	1	0.5
116.482276	39.944093	2	0	4	4.6	1029	2694233.409	375	4	3.0
116.776367	40.565101	10	58	5	4.5	709	3908830.549	256	4	4.0
116.786169	40.542212	10	78	5	4.5	321	19266587.61	193	1	6.0
116.407827	39.976114	2	0	1	4.3	126	664426.413	114	1	1.5
117.170193	40.245919	11	75	5	4.3	458	4773926.452	61	4	3.5
115.977528	40.338935	16	54	1	4.6	409	6180535.744	190	3	2.5
116.42793	39.901271	4	10	1	4.6	352	125394.162	222	4	1.5
117.256998	40.314023	11	78	5	4.5	1070	2000000.0	35	1	3.0
116.106103	40.052849	7	20	1	4.5	246	77200.0	480	3	2.0
116.415071	39.934112	4	0	1	3.8	23	6632.185128	76	1	1.0
116.315327	39.893297	6	0	4	4.6	676	427354.3373	107	2	2.5
116.358742	39.925693	15	0	2	4.6	315	5024.916992	154	1	1.0
116.499122	39.9844	2	0	2	4.2	339	197206.754	407	1	3.0
116.367443	39.924802	15	20	1	4.7	157	21500.0	193	1	1.5
116.352206	39.916423	15	0	4	4.5	490	61751.2355	87	1	1.0
116.344962	39.967038	7	30	1	4.3	288	30000.0	166	3	2.5
116.22609	39.851425	6	0	1	4.5	144	213592.5458	208	1	1.5
116.373637	39.937478	15	0	4	4.5	45	0.0	115	1	0.2
116.406554	39.923264	4	0	1	3.8	133	83491.17307	91	1	2.5
116.401388	39.899814	4	0	2	4.0	77	7832.722937	55	1	1.5
116.674971	40.432806	8	0	1	4.4	7	1488.967341	23	1	1.5
116.345924	39.895064	15	0	1	4.7	60	6254.108793	210	1	1.5
116.38457	39.895313	15	0	4	4.6	5	102580.1232	549	1	1.0
116.248805	39.884168	6	239	6	4.4	1853	277519.7644	12	1	5.5
116.399716	39.899804	4	0	4	4.3	28	3500.0	49	1	0.2
116.431111	39.91081	4	0	2	4.6	83	2335.427439	30	1	1.0
116.688349	39.908314	14	0	4	4.8	36	3680000.0	9024	5	4.0
116.24843	40.303961	1	45	1	4.5	342	2393231.035	670	5	1.5
116.225759	40.294843	1	60	1	4.4	945	210371.1033	1175	5	1.0
116.223201	40.254311	1	30	1	4.4	133	302229.8482	303	5	2.0
115.610697	39.64063	5	0	5	4.5	670	50901.34807	404	4	3.5
